City of Sunnyvale,,,,
Report Number,Date,Violation Code,race,Sex
T510608,1/1/2020,24252A,Hispanic,Male
E234202,1/2/2020,12500A,Other,M
E235931,1/2/2020,231235A,,M
E235932,1/2/2020,24252A,,F
E235933,1/2/2020,22450A,,F
E235934,1/2/2020,22450A,,M
E235935,1/2/2020,231235A,,M
E235936,1/2/2020,22450A,,F
E235937,1/2/2020,22450A,,M
E235939,1/2/2020,22450A,,M
E235940,1/2/2020,231235A,,F
E235941,1/2/2020,231235A,,F
E235942,1/2/2020,231235A,,F
E235943,1/2/2020,231235A,,F
T490831,1/2/2020,27315D1 21453C,White,Male
T509708,1/2/2020,21950A,Other Asian,Male
T510609,1/2/2020,21453A,Other Asian,Female
T511006,1/2/2020,23123A 12500A 16028A,Other,Female
E222817,1/3/2020,22450A,,F
E222818,1/3/2020,22450A,,F
E222819,1/3/2020,22450A,,M
E222820,1/3/2020,22450A,,F
E222821,1/3/2020,22450A,,M
E222822,1/3/2020,22450A,,M
E222823,1/3/2020,22450A,,M
E231905,1/3/2020,21658A,Hispanic,F
E233349,1/3/2020,231235A,,M
E233350,1/3/2020,231235A,,F
E233351,1/3/2020,22450A,,F
E233352,1/3/2020,22450A,,M
E233353,1/3/2020,22450A,,M
E233354,1/3/2020,22450A,,M
E233355,1/3/2020,231235A,,F
E235119,1/3/2020,21453B,,M
E235120,1/3/2020,22450A 146011A,Hispanic,M
E235121,1/3/2020,231235A,,F
E235944,1/3/2020,231235A,,M
E235945,1/3/2020,231235A,,M
E235946,1/3/2020,22450A,,M
E235947,1/3/2020,22450A,,F
E235948,1/3/2020,22450A,,M
E235949,1/3/2020,22450A,,M
E235950,1/3/2020,22450A,,F
E235951,1/3/2020,231235A,,F
E235952,1/3/2020,231235A,,M
E235953,1/3/2020,231235A,,M
E235954,1/3/2020,231235A,,F
E235955,1/3/2020,22450A,,F
E235956,1/3/2020,22450A,,M
T510398,1/3/2020,5200A 26710 146011A,Hispanic,Male
E230136,1/4/2020,12500A,Hispanic,M
E233356,1/4/2020,12500A 5200A,Hispanic,M
E234439,1/4/2020,24400A1,White,M
T503893,1/4/2020,4000A1 16028A,White,Female
E224240,1/5/2020,12500A,Hispanic,M
